scenario,agent,label,n,mean,ci_lo,ci_hi,median,std,standard_error,p5,p95,worst,best,fill_frac,filled_only_mean,children
baseline_foundation_study,twap,TWAP,10,2.237400040314054,1.9644444378690449,2.5081297882563143,2.1100895057210725,0.4699442362214765,0.1486094159728067,1.6032978606888817,2.824226338683237,2.882717564121605,1.3994400779956344,1.0,2.237400040314054,20.0
baseline_foundation_study,vwap,VWAP,10,2.266107953742673,1.9100406801446133,2.662406463731772,2.1073852281710357,0.6570132660409351,0.2077658373635513,1.5368779419292484,3.282645185859825,3.5018748937450948,1.367444877756403,1.0,2.266107953742673,20.0
baseline_foundation_study,pov,POV,10,2.240106714504537,1.7833911568113254,2.6944799804795707,2.235938196909722,0.778142448437479,0.24607024811225647,1.0828259180368058,3.1991573252724654,3.494875243762989,0.9080137993094812,1.0,2.240106714504537,18.8
baseline_foundation_study,ac,Almgren-Chriss,10,2.2952445874246843,2.0751256186077294,2.5363444579226964,2.15007747112704,0.4093973973363391,0.12946282437277826,1.8461697554704273,2.915662621868791,3.0096985150744646,1.7993001549759244,1.0,2.2952445874246843,20.0
baseline_foundation_study,heuristic,Heuristic,10,2.212540728857194,1.8729197866157252,2.5293381870135314,2.1465737332694674,0.5489734571132762,0.1736006499454717,1.4915727930118088,2.8368994375284244,2.8407238638069767,1.3084845742278968,0.9087,2.118457905806605,20.0
baseline_foundation_study,random,Random,10,2.1528127841255844,1.708686932937186,2.6234056755811976,2.09186293877156,0.7975444301642758,0.2522056934500209,1.1681793203533495,3.1685859322424292,3.4073916195803027,1.129474776260736,0.9083,2.0550931844898632,14.8
