agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,scenario,episode_reward
ac,Almgren-Chriss,105,ac,2.3542968351577036,2.3542968351577036,1.0,10.0,20,99.991455,100.005,27.08999999998923,47.08829099998923,19.998291000000002,0.9998645567721615,1.3544322783855425,2.3542968351577036,0.0,0.0,0.0,2.3542968351577036,0,0,0,VALID,[],"{'cash': 199962.91170900007, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -27.089999999979938, 'unrealized_pnl': 0.0, 'total_fees': 19.998291000000002, 'realized_pnl': -47.08829099997994, 'equity': 199962.91170900007, 'total_pnl': -47.08829099997994}",baseline_foundation_study,
heuristic,Heuristic,105,heuristic,2.7486240944080316,2.8407238638069767,0.898,10.0,20,99.98586302895323,100.005,34.37000000000502,49.36775700000502,14.997757000000002,0.7498503574821259,1.9889005549724188,2.8407238638069767,5.409999999998327,2.039561,2.55,5.3907238638069765,0,204,4,WARNING,[],"{'cash': 179559.61224300007, 'inventory': 204, 'average_cost': 100.005, 'gross_realized_pnl': -34.36999999998052, 'unrealized_pnl': -4.079999999999188, 'total_fees': 14.997757000000002, 'realized_pnl': -49.36775699998052, 'equity': 199956.55224300007, 'total_pnl': -53.44775699997971}",baseline_foundation_study,-5.390723863806725
random,Random,105,random,2.7332399880010074,2.7332399880010074,1.0,10.0,15,99.98685499999999,100.005,36.29000000000815,54.66753300000815,18.377533000000003,0.9188307084645769,1.8144092795364306,2.7332399880010074,0.0,0.0,0.0,2.7332399880010074,0,0,0,VALID,[],"{'cash': 199955.332467, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -36.289999999978775, 'unrealized_pnl': 0.0, 'total_fees': 18.377533000000003, 'realized_pnl': -54.667532999978775, 'equity': 199955.332467, 'total_pnl': -54.667532999978775}",baseline_foundation_study,-2.7332399880005998
twap,TWAP,106,twap,1.852457372869517,1.852457372869517,1.0,10.0,20,99.986475,99.995,17.050000000017462,37.04729500001747,19.99729500000001,0.9999147457372873,0.8525426271322297,1.852457372869517,0.0,0.0,0.0,1.852457372869517,0,0,0,VALID,[],"{'cash': 199952.95270500006, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -17.04999999999451, 'unrealized_pnl': 0.0, 'total_fees': 19.99729500000001, 'realized_pnl': -37.04729499999452, 'equity': 199952.95270500006, 'total_pnl': -37.04729499999452}",baseline_foundation_study,
vwap,VWAP,106,vwap,1.7439627981405037,1.7439627981405037,1.0,10.0,20,99.98756,99.995,14.880000000011933,34.87751200001193,19.997512000000004,0.9999255962798143,0.7440372018606897,1.7439627981405037,0.0,0.0,0.0,1.7439627981405037,0,0,0,VALID,[],"{'cash': 199955.12248799996, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -14.879999999993402, 'unrealized_pnl': 0.0, 'total_fees': 19.997512000000004, 'realized_pnl': -34.8775119999934, 'equity': 199955.12248799996, 'total_pnl': -34.8775119999934}",baseline_foundation_study,
pov,POV,106,pov,1.2964851742590915,1.2964851742590915,1.0,10.0,19,99.992035,99.995,5.930000000007567,25.92840700000757,19.998407000000004,0.999970348517426,0.29651482574166543,1.2964851742590915,0.0,0.0,0.0,1.2964851742590915,0,0,0,VALID,[],"{'cash': 199964.07159300006, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -5.929999999994777, 'unrealized_pnl': 0.0, 'total_fees': 19.998407000000004, 'realized_pnl': -25.92840699999478, 'equity': 199964.07159300006, 'total_pnl': -25.92840699999478}",baseline_foundation_study,
ac,Almgren-Chriss,106,ac,1.9034548227414863,1.9034548227414863,1.0,10.0,20,99.985965,99.995,18.070000000006985,38.06719300000698,19.997193,0.999909645482274,0.9035451772592122,1.9034548227414863,0.0,0.0,0.0,1.9034548227414863,0,0,0,VALID,[],"{'cash': 199951.932807, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -18.069999999995034, 'unrealized_pnl': 0.0, 'total_fees': 19.997193, 'realized_pnl': -38.06719299999503, 'equity': 199951.932807, 'total_pnl': -38.06719299999503}",baseline_foundation_study,
heuristic,Heuristic,106,heuristic,1.2872078603921142,1.3084845742278968,0.9,10.0,20,99.9921277777778,99.995,5.169999999983702,23.168582999983705,17.998583000000004,0.8999741487074355,0.30851542577047364,1.3084845742278968,1.0,1.9998,2.5,3.8084845742278968,0,200,200,WARNING,[],"{'cash': 179967.831417, 'inventory': 200, 'average_cost': 99.995, 'gross_realized_pnl': -5.169999999997685, 'unrealized_pnl': 0.9999999999990905, 'total_fees': 17.998583000000004, 'realized_pnl': -23.16858299999769, 'equity': 199967.831417, 'total_pnl': -22.1685829999986}",baseline_foundation_study,-3.8084845742287117
random,Random,106,random,1.1806819297200652,1.2154848742443214,0.891,10.0,14,99.99270482603815,99.995,4.090000000012187,21.038700000012184,16.9487,0.8474773738686934,0.2590129506481418,1.2154848742443214,1.09,2.1797820000000003,2.725,3.9404848742443215,0,218,0,VALID,[],"{'cash': 178170.05130000002, 'inventory': 218, 'average_cost': 99.995, 'gross_realized_pnl': -4.08999999999628, 'unrealized_pnl': 1.0899999999990087, 'total_fees': 16.9487, 'realized_pnl': -21.03869999999628, 'equity': 199970.05130000002, 'total_pnl': -19.94869999999727}",baseline_foundation_study,-3.9404848742437126
twap,TWAP,107,twap,1.3994400779956344,1.3994400779956344,1.0,10.0,20,100.001005,100.005,7.989999999990687,27.990200999990684,20.000200999999997,0.9999600519973999,0.39948002599823446,1.3994400779956344,0.0,0.0,0.0,1.3994400779956344,0,0,0,VALID,[],"{'cash': 199982.00979899993, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -7.989999999984462, 'unrealized_pnl': 0.0, 'total_fees': 20.000200999999997, 'realized_pnl': -27.99020099998446, 'equity': 199982.00979899993, 'total_pnl': -27.99020099998446}",baseline_foundation_study,
vwap,VWAP,107,vwap,1.367444877756403,1.367444877756403,1.0,10.0,20,100.001325,100.005,7.350000000005821,27.350265000005816,20.000264999999995,0.9999632518374079,0.3674816259189951,1.367444877756403,0.0,0.0,0.0,1.367444877756403,0,0,0,VALID,[],"{'cash': 199982.649735, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -7.349999999985542, 'unrealized_pnl': 0.0, 'total_fees': 20.000264999999995, 'realized_pnl': -27.350264999985537, 'equity': 199982.649735, 'total_pnl': -27.350264999985537}",baseline_foundation_study,
pov,POV,107,pov,0.9080137993094812,0.9080137993094812,1.0,10.0,19,100.00592,100.005,-1.8400000000110595,18.161183999988936,20.001183999999995,1.0000091995400229,-0.09199540023054145,0.9080137993094812,0.0,0.0,0.0,0.9080137993094812,0,0,0,VALID,[],"{'cash': 199991.8388160001, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 1.8400000000153796, 'unrealized_pnl': 0.0, 'total_fees': 20.001183999999995, 'realized_pnl': -18.161183999984615, 'equity': 199991.8388160001, 'total_pnl': -18.161183999984615}",baseline_foundation_study,
