agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,decision_horizon,decision_duration,settlement_duration,total_duration,settlement_complete,late_filled_qty,late_fees,settlement_pending_order_ids,cell,phase,episode_reward
twap,TWAP,44010,twap,2.1021845860402313,2.1021845860402313,1.0,29.0,20,99.98740529352845,99.99842806841048,25.198063380283315,48.055184230383894,22.85712085010058,0.9998897705184465,1.1022948155217847,2.1021845860402313,0.0,0.0,0.0,2.1021845860402313,0,0,0,VALID,[],"{'cash': 228548.35138015603, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -25.198063380295423, 'unrealized_pnl': 0.0, 'total_fees': 22.85712085010058, 'realized_pnl': -48.055184230396, 'equity': 228548.35138015603, 'total_pnl': -48.055184230396}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44010,random,1.7334522821523173,1.7334522821523173,1.0,22.0,38,99.98704222271513,99.99842806841048,26.028043259552245,39.62609626508545,13.598053005533208,0.5948498145662314,1.138602467586086,1.7334522821523173,0.0,0.0,0.0,1.7334522821523173,0,0,0,VALID,[],"{'cash': 228556.7804681213, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -26.028043259574446, 'unrealized_pnl': 0.0, 'total_fees': 13.598053005533208, 'realized_pnl': -39.626096265107655, 'equity': 228556.7804681213, 'total_pnl': -39.626096265107655}",30.0,22.0,0.0,22.0,True,0,0.0,[],0,diagnostic,-1.7334522821525404
all_wait,all_wait capacity control,44010,fixed_action_zero,0.0,1.2707674921908927,0.0,30.0,0,99.99842806841048,99.99842806841048,0.0,0.0,0.0,0.0,0.2707945716480577,1.2707674921908927,6.190266599588825,22.859021629778674,0.0,1.2707674921908927,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.99842806841048, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 21.56061368207301, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228617.96717806841, 'total_pnl': 21.56061368207301}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-1.270767492190893
all_market,all_market capacity control,44010,fixed_action_four,3.1499131401306792,3.1499131401306792,1.0,10.5,21,99.97692712486645,99.99842806841048,49.15115694163709,72.00588248238157,22.854725540744475,0.9997849871847055,2.1501281529459737,3.1499131401306792,0.0,0.0,0.0,3.1499131401306792,0,0,0,VALID,[],"{'cash': 228524.400681904, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -49.151156941664226, 'unrealized_pnl': 0.0, 'total_fees': 22.854725540744475, 'realized_pnl': -72.00588248240871, 'equity': 228524.400681904, 'total_pnl': -72.00588248240871}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-3.1499131401312397
twap,TWAP,44011,twap,1.2280875740929196,1.2280875740929196,1.0,29.0,20,100.01815354066657,100.020435110664,5.21566901408087,28.07981891347725,22.86414989939638,0.9999771889614868,0.22811038513143275,1.2280875740929196,0.0,0.0,0.0,1.2280875740929196,0,0,0,VALID,[],"{'cash': 228618.6348440645, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -5.215669014094786, 'unrealized_pnl': 0.0, 'total_fees': 22.86414989939638, 'realized_pnl': -28.079818913491167, 'equity': 228618.6348440645, 'total_pnl': -28.079818913491167}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44011,random,2.0292470513433587,2.0292470513433587,1.0,24.5,38,100.00684058418754,100.020435110664,31.07708752515283,46.398067152919424,15.320979627766595,0.670072152593555,1.3591748987498038,2.0292470513433587,0.0,0.0,0.0,2.0292470513433587,0,0,0,VALID,[],"{'cash': 228600.316595825, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -31.07708752516345, 'unrealized_pnl': 0.0, 'total_fees': 15.320979627766595, 'realized_pnl': -46.39806715293005, 'equity': 228600.316595825, 'total_pnl': -46.39806715293005}",30.0,24.5,0.0,24.5,True,0,0.0,[],0,diagnostic,-2.029247051343275
all_wait,all_wait capacity control,44011,fixed_action_zero,0.0,1.9368226219836961,0.0,30.0,0,100.020435110664,100.020435110664,0.0,0.0,0.0,0.0,0.9369163136150576,1.9368226219836961,21.42228370222312,22.862529237927568,0.0,1.9368226219836961,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.020435110664, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 28.74748490944151, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228675.46214788733, 'total_pnl': 28.74748490944151}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-1.9368226219836964
all_market,all_market capacity control,44011,fixed_action_four,2.418157520657228,2.418157520657228,1.0,10.5,21,100.00624921884764,100.020435110664,32.42894869215617,55.29037726358473,22.86142857142856,0.9998581700649402,1.4182993505922878,2.418157520657228,0.0,0.0,0.0,2.418157520657228,0,0,0,VALID,[],"{'cash': 228591.42428571443, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -32.42894869216518, 'unrealized_pnl': 0.0, 'total_fees': 22.86142857142856, 'realized_pnl': -55.29037726359374, 'equity': 228591.42428571443, 'total_pnl': -55.29037726359374}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.418157520657087
twap,TWAP,44012,twap,2.048790079846796,2.048790079846796,1.0,29.0,20,99.9785086833336,99.98899647887325,23.975100603621183,46.830187688631256,22.855087085010073,0.9998951105030661,1.0488949693437304,2.048790079846796,0.0,0.0,0.0,2.048790079846796,0,0,0,VALID,[],"{'cash': 228528.01576301592, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -23.975100603625236, 'unrealized_pnl': 0.0, 'total_fees': 22.855087085010073, 'realized_pnl': -46.830187688635306, 'equity': 228528.01576301592, 'total_pnl': -46.830187688635306}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44012,random,1.4857349937818016,1.5260547037104044,0.962817147856518,30.0,48,99.98124966290246,99.98899647887325,17.05074195171749,32.69742894869939,15.6466869969819,0.6845323216517164,0.80434536857131,1.5260547037104044,1.3345699195174687,0.8497730130784709,0.0,1.5260547037104044,0,85,0,VALID,[],"{'cash': 220043.08382105164, 'inventory': 85, 'average_cost': 99.98899647887325, 'gross_realized_pnl': -17.050741951711657, 'unrealized_pnl': -1.0689134808859535, 'total_fees': 15.6466869969819, 'realized_pnl': -32.697428948693556, 'equity': 228541.07960827497, 'total_pnl': -33.76634242957951}",30.0,30.0,0.00999999999999801,30.009999999999998,True,0,0.0,[],0,diagnostic,-1.526054703710088
all_wait,all_wait capacity control,44012,fixed_action_zero,0.0,2.117279125186824,0.0,30.0,0,99.98899647887325,99.98899647887325,0.0,0.0,0.0,0.0,1.117390864273251,2.117279125186824,25.540744466798266,22.854930520623743,0.0,2.117279125186824,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.98899647887325, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 7.186871227368499, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228582.0328219316, 'total_pnl': 7.186871227368499}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-2.1172791251868235
all_market,all_market capacity control,44012,fixed_action_four,2.0926615767611887,2.0926615767611887,1.0,10.5,21,99.9780699727675,99.98899647887325,24.977992957739986,47.83297975351465,22.85498679577466,0.9998907229146158,1.0927708538465726,2.0926615767611887,0.0,0.0,0.0,2.0926615767611887,0,0,0,VALID,[],"{'cash': 228527.01297095086, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -24.977992957745045, 'unrealized_pnl': 0.0, 'total_fees': 22.85498679577466, 'realized_pnl': -47.83297975351971, 'equity': 228527.01297095086, 'total_pnl': -47.83297975351971}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.0926615767614725
twap,TWAP,44013,twap,2.356308461081118,2.356308461081118,1.0,29.0,20,100.02572851809018,100.03929828973844,31.020497987931137,53.88637952716654,22.865881539235406,0.9998643555894504,1.3564441054916676,2.356308461081118,0.0,0.0,0.0,2.356308461081118,0,0,0,VALID,[],"{'cash': 228635.94951081497, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -31.02049798793324, 'unrealized_pnl': 0.0, 'total_fees': 22.865881539235406, 'realized_pnl': -53.88637952716864, 'equity': 228635.94951081497, 'total_pnl': -53.88637952716864}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44013,random,2.37418781585983,2.37418781585983,1.0,21.0,38,100.0235803491113,100.03929828973844,35.931212273636135,54.29526219818342,18.364049924547285,0.803011198685408,1.5711766171744217,2.37418781585983,0.0,0.0,0.0,2.37418781585983,0,0,0,VALID,[],"{'cash': 228635.54062814414, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -35.931212273643936, 'unrealized_pnl': 0.0, 'total_fees': 18.364049924547285, 'realized_pnl': -54.295262198191224, 'equity': 228635.54062814414, 'total_pnl': -54.295262198191224}",30.0,21.0,0.0,21.0,True,0,0.0,[],0,diagnostic,-2.3741878158600804
all_wait,all_wait capacity control,44013,fixed_action_zero,0.0,2.2397431854145498,0.0,30.0,0,100.03929828973844,100.03929828973844,0.0,0.0,0.0,0.0,1.2398671721317631,2.2397431854145498,28.354502012063538,22.866148138833,0.0,2.2397431854145498,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.03929828973844, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -7.186871227368499, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228682.6490191147, 'total_pnl': -7.186871227368499}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-2.2397431854145498
all_market,all_market capacity control,44013,fixed_action_four,2.9642898458337728,2.9642898458337728,1.0,10.5,21,100.01964570669864,100.03929828973844,44.925804828961994,67.7902958375133,22.86449100855131,0.9998035513705535,1.9644862944632198,2.9642898458337728,0.0,0.0,0.0,2.9642898458337728,0,0,0,VALID,[],"{'cash': 228622.04559450466, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -44.92580482898093, 'unrealized_pnl': 0.0, 'total_fees': 22.86449100855131, 'realized_pnl': -67.79029583753224, 'equity': 228622.04559450466, 'total_pnl': -67.79029583753224}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.964289845834292
twap,TWAP,44014,twap,3.086459343947005,3.086459343947005,1.0,29.0,20,99.98699133779053,100.00785965794769,47.70497987927298,70.5620060990919,22.857026219818916,0.9997913331989253,2.0866680107480797,3.086459343947005,0.0,0.0,0.0,3.086459343947005,0,0,0,VALID,[],"{'cash': 228547.4051719694, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -47.70497987927463, 'unrealized_pnl': 0.0, 'total_fees': 22.857026219818916, 'realized_pnl': -70.56200609909355, 'equity': 228547.4051719694, 'total_pnl': -70.56200609909355}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44014,random,2.905481832531934,2.905481832531934,1.0,23.0,41,99.98574809530852,100.00785965794769,50.5470321931491,66.42453502262597,15.87750282947687,0.6944993442755105,2.2109824882564233,2.905481832531934,0.0,0.0,0.0,2.905481832531934,0,0,0,VALID,[],"{'cash': 228551.54264304577, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -50.54703219315674, 'unrealized_pnl': 0.0, 'total_fees': 15.87750282947687, 'realized_pnl': -66.4245350226336, 'equity': 228551.54264304577, 'total_pnl': -66.4245350226336}",30.0,23.0,0.0,23.0,True,0,0.0,[],0,diagnostic,-2.905481832532365
all_wait,all_wait capacity control,44014,fixed_action_zero,0.0,1.993178848116988,0.0,30.0,0,100.00785965794769,100.00785965794769,0.0,0.0,0.0,0.0,0.9932781759345816,1.993178848116988,22.708123742450383,22.859525905432598,0.0,1.993178848116988,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.00785965794769, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 14.373742454736998, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228632.34092052316, 'total_pnl': 14.373742454736998}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-1.993178848116988
all_market,all_market capacity control,44014,fixed_action_four,3.069271561028902,3.069271561028902,1.0,10.5,21,99.98716324631957,100.00785965794769,47.31199698187978,70.16906249998843,22.857065518108648,0.9997930521491117,2.06947850887979,3.069271561028902,0.0,0.0,0.0,3.069271561028902,0,0,0,VALID,[],"{'cash': 228547.7981155686, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -47.311996981889706, 'unrealized_pnl': 0.0, 'total_fees': 22.857065518108648, 'realized_pnl': -70.16906249999835, 'equity': 228547.7981155686, 'total_pnl': -70.16906249999835}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-3.0692715610294083
twap,TWAP,44015,twap,3.19288683502118,3.19288683502118,1.0,29.0,20,99.97335417799889,99.9952842052314,50.13204225351463,72.98595101860516,22.853908765090527,0.9997806893854355,2.1931061456357446,3.19288683502118,0.0,0.0,0.0,3.19288683502118,0,0,0,VALID,[],"{'cash': 228516.23374214058, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -50.132042253529846, 'unrealized_pnl': 0.0, 'total_fees': 22.853908765090527, 'realized_pnl': -72.98595101862037, 'equity': 228516.23374214058, 'total_pnl': -72.98595101862037}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44015,random,2.5886585577299233,2.5886585577299233,1.0,23.0,38,99.97673733785038,99.9952842052314,42.398138832989986,59.17394397635015,16.775805143360166,0.7338843522839243,1.854774205445999,2.5886585577299233,0.0,0.0,0.0,2.5886585577299233,0,0,0,VALID,[],"{'cash': 228530.04574918267, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -42.398138833004154, 'unrealized_pnl': 0.0, 'total_fees': 16.775805143360166, 'realized_pnl': -59.17394397636432, 'equity': 228530.04574918267, 'total_pnl': -59.17394397636432}",30.0,23.0,0.0,23.0,True,0,0.0,[],0,diagnostic,-2.588658557730273
all_wait,all_wait capacity control,44015,fixed_action_zero,0.0,3.6835566097210384,0.0,30.0,0,99.9952842052314,99.9952842052314,0.0,0.0,0.0,0.0,2.68382499222026,3.6835566097210384,61.34934607646278,22.85278703470825,0.0,3.6835566097210384,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.9952842052314, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -25.154049295789747, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228564.0656438632, 'total_pnl': -25.154049295789747}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-3.6835566097210393
