agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,decision_horizon,decision_duration,settlement_duration,total_duration,settlement_complete,late_filled_qty,late_fees,settlement_pending_order_ids,phase,cell,episode_reward
random,Random,47028,random,1.0230588466216073,1.0230588466216073,1.0,34.0,14,100.02247050764781,100.02672283702213,9.720824949705785,23.393374937130325,13.672549987424542,0.5979395131357953,0.42511933348581205,1.0230588466216073,0.0,0.0,0.0,1.0230588466216073,0,0,0,VALID,[],"{'cash': 228637.69503049573, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -9.720824949688364, 'unrealized_pnl': 0.0, 'total_fees': 13.672549987424542, 'realized_pnl': -23.393374937112906, 'equity': 228637.69503049573, 'total_pnl': -23.393374937112906}",60.0,34.0,0.0,34.0,True,0,0.0,[],diagnostic,0,-1.0230588466212753
all_wait,all_wait capacity control,47028,fixed_action_zero,0.0,0.9260377328609674,0.0,60.0,0,100.02672283702213,100.02672283702213,0.0,0.0,0.0,0.0,-0.0739696641054435,0.9260377328609674,-1.6913983903334973,22.866277980382296,0.0,0.9260377328609674,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.02672283702213, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 43.121227364210995, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228704.20963279682, 'total_pnl': 43.121227364210995}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,-0.9260377328609672
all_market,all_market capacity control,47028,fixed_action_four,1.4770428754158402,1.4770428754158402,1.0,22.0,11,100.02195065625601,100.02672283702213,10.909205231387485,33.774223151407575,22.86501792002009,0.9999522909415512,0.47709058447428876,1.4770428754158402,0.0,0.0,0.0,1.4770428754158402,0,0,0,VALID,[],"{'cash': 228627.3141822812, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -10.909205231376916, 'unrealized_pnl': 0.0, 'total_fees': 22.86501792002009, 'realized_pnl': -33.77422315139701, 'equity': 228627.3141822812, 'total_pnl': -33.77422315139701}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,0,-1.4770428754158782
twap,TWAP,47029,twap,-0.007828225794246623,-0.007828225794246623,1.0,60.0,20,100.02422810044872,100.01414738430584,-23.044517102621896,-0.1789785588593027,22.865538543762593,1.0001007929018704,-1.007929018696117,-0.007828225794246623,0.0,0.0,0.0,-0.007828225794246623,0,0,0,VALID,[],"{'cash': 228632.51989908196, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 23.044517102611835, 'unrealized_pnl': 0.0, 'total_fees': 22.865538543762593, 'realized_pnl': 0.1789785588492414, 'equity': 228632.51989908196, 'total_pnl': 0.1789785588492414}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,
random,Random,47029,random,-0.45339015137858574,-0.45339015137858574,1.0,34.0,15,100.02282532685176,100.01414738430584,-19.83777665996342,-10.365965165999642,9.471811493963779,0.41428135039112235,-0.8676715017697081,-0.45339015137858574,0.0,0.0,0.0,-0.45339015137858574,0,0,0,VALID,[],"{'cash': 228642.7068856891, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 19.837776659951942, 'unrealized_pnl': 0.0, 'total_fees': 9.471811493963779, 'realized_pnl': 10.365965165988163, 'equity': 228642.7068856891, 'total_pnl': 10.365965165988163}",60.0,34.0,0.0,34.0,True,0,0.0,[],diagnostic,0,0.4533901513784255
all_wait,all_wait capacity control,47029,fixed_action_zero,0.0,0.32091901675324414,0.0,60.0,0,100.01414738430584,100.01414738430584,0.0,0.0,0.0,0.0,-0.6791488981365696,0.32091901675324414,-15.527540241455783,22.864786846076463,0.0,0.32091901675324414,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.01414738430584, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 71.8687122736525, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228704.20963279682, 'total_pnl': 71.8687122736525}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,-0.3209190167532441
all_market,all_market capacity control,47029,fixed_action_four,1.6404452763638122,1.6404452763638122,1.0,22.0,11,100.00774138487972,100.01414738430584,14.64411468812381,37.50588436870729,22.861769680583482,0.9999359490672693,0.6405093272965426,1.6404452763638122,0.0,0.0,0.0,1.6404452763638122,0,0,0,VALID,[],"{'cash': 228594.8350361544, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -14.64411468813762, 'unrealized_pnl': 0.0, 'total_fees': 22.861769680583482, 'realized_pnl': -37.5058843687211, 'equity': 228594.8350361544, 'total_pnl': -37.5058843687211}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,0,-1.6404452763640303
twap,TWAP,47030,twap,2.0633680694173933,2.0633680694173933,1.0,60.0,20,99.97836290490098,99.98899647887325,24.3083501006079,47.16340386066827,22.855053760060372,0.9998936525583145,1.0634744168590788,2.0633680694173933,0.0,0.0,0.0,2.0633680694173933,0,0,0,VALID,[],"{'cash': 228527.6825468439, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -24.308350100607754, 'unrealized_pnl': 0.0, 'total_fees': 22.855053760060372, 'realized_pnl': -47.163403860668126, 'equity': 228527.6825468439, 'total_pnl': -47.163403860668126}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,
random,Random,47030,random,1.636367617578211,1.636367617578211,1.0,32.0,15,99.97880986707648,99.98899647887325,23.286594567406485,37.40324761066605,14.116653043259564,0.6175943369684713,1.0187732806097398,1.636367617578211,0.0,0.0,0.0,1.636367617578211,0,0,0,VALID,[],"{'cash': 228537.44270309355, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -23.2865945674109, 'unrealized_pnl': 0.0, 'total_fees': 14.116653043259564, 'realized_pnl': -37.40324761067046, 'equity': 228537.44270309355, 'total_pnl': -37.40324761067046}",60.0,32.0,0.0,32.0,True,0,0.0,[],diagnostic,0,-1.6363676175781205
all_wait,all_wait capacity control,47030,fixed_action_zero,0.0,2.3811957476918963,0.0,60.0,0,99.98899647887325,99.98899647887325,0.0,0.0,0.0,0.0,1.3813338810800044,2.3811957476918963,31.57381790743504,22.854327213279678,0.0,2.3811957476918963,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.98899647887325, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 7.186871227368499, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228582.0328219316, 'total_pnl': 7.186871227368499}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,-2.3811957476918963
all_market,all_market capacity control,47030,fixed_action_four,2.468663685114335,2.468663685114335,1.0,22.0,11,99.97430998942035,99.98899647887325,33.573314889329204,56.4274421529107,22.854127263581496,0.9998531189433831,1.468810566170952,2.468663685114335,0.0,0.0,0.0,2.468663685114335,0,0,0,VALID,[],"{'cash': 228518.41850855135, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -33.57331488934143, 'unrealized_pnl': 0.0, 'total_fees': 22.854127263581496, 'realized_pnl': -56.42744215292293, 'equity': 228518.41850855135, 'total_pnl': -56.42744215292293}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,0,-2.468663685114633
twap,TWAP,47031,twap,3.3457786303230423,3.3457786303230423,1.0,60.0,20,99.9906839329943,100.01414738430584,53.637449698179395,76.49532004526188,22.857870347082482,0.9997653986768347,2.3460132316462072,3.3457786303230423,0.0,0.0,0.0,3.3457786303230423,0,0,0,VALID,[],"{'cash': 228555.84560047797, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -53.6374496981948, 'unrealized_pnl': 0.0, 'total_fees': 22.857870347082482, 'realized_pnl': -76.49532004527728, 'equity': 228555.84560047797, 'total_pnl': -76.49532004527728}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,
random,Random,47031,random,2.218489928444594,2.218489928444594,1.0,48.0,16,99.99650406815346,100.01414738430584,40.332620724345894,50.72185456488915,10.389233840543257,0.45440788467256904,1.7640820437720253,2.218489928444594,0.0,0.0,0.0,2.218489928444594,0,0,0,VALID,[],"{'cash': 228581.6190659581, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -40.332620724353504, 'unrealized_pnl': 0.0, 'total_fees': 10.389233840543257, 'realized_pnl': -50.72185456489676, 'equity': 228581.6190659581, 'total_pnl': -50.72185456489676}",60.0,48.0,0.0,48.0,True,0,0.0,[],diagnostic,0,-2.2184899284446025
all_wait,all_wait capacity control,47031,fixed_action_zero,0.0,4.210613492567316,0.0,60.0,0,100.01414738430584,100.01414738430584,0.0,0.0,0.0,0.0,3.210934586025919,4.210613492567316,73.41234909457768,22.85589285714286,0.0,4.210613492567316,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.01414738430584, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -43.12122736417851, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228589.219693159, 'total_pnl': -43.12122736417851}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,0,-4.210613492567316
all_market,all_market capacity control,47031,fixed_action_four,3.035455532694921,3.035455532694921,1.0,22.0,11,99.99378791339464,100.01414738430584,46.54175050301733,69.40033042001933,22.858579917001997,0.9997964340901387,2.0356590986047816,3.035455532694921,0.0,0.0,0.0,3.035455532694921,0,0,0,VALID,[],"{'cash': 228562.9405901032, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -46.54175050302234, 'unrealized_pnl': 0.0, 'total_fees': 22.858579917001997, 'realized_pnl': -69.40033042002435, 'equity': 228562.9405901032, 'total_pnl': -69.40033042002435}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,0,-3.035455532694956
twap,TWAP,47000,twap,3.539685961156827,3.539685961156827,1.0,60.0,20,99.98560132674695,100.01100352112677,43.53936116701004,60.67689323441445,17.13753206740441,0.9997460060044838,2.539939955152344,3.539685961156827,0.0,0.0,0.0,3.539685961156827,0,0,0,VALID,[],"{'cash': 171358.1831419769, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -43.53936116700193, 'unrealized_pnl': 0.0, 'total_fees': 17.13753206740441, 'realized_pnl': -60.676893234406336, 'equity': 171358.1831419769, 'total_pnl': -60.676893234406336}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,
random,Random,47000,random,1.9534673426611162,1.9534673426611162,1.0,42.0,15,99.99661218477728,100.01100352112677,24.666750503019323,33.4861144994982,8.819363996478875,0.5144920456633116,1.4389752969978045,1.9534673426611162,0.0,0.0,0.0,1.9534673426611162,0,0,0,VALID,[],"{'cash': 171385.37392071183, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -24.66675050301751, 'unrealized_pnl': 0.0, 'total_fees': 8.819363996478875, 'realized_pnl': -33.48611449949639, 'equity': 171385.37392071183, 'total_pnl': -33.48611449949639}",60.0,42.0,0.0,42.0,True,0,0.0,[],diagnostic,1,-1.9534673426610452
all_wait,all_wait capacity control,47000,fixed_action_zero,0.0,3.9106719312203135,0.0,60.0,0,100.01100352112677,100.01100352112677,0.0,0.0,0.0,0.0,2.9109630275230662,3.9106719312203135,49.89939637826514,17.1368960638833,0.0,3.9106719312203135,0,1714,0,VALID,[],"{'cash': 0.0, 'inventory': 1714, 'average_cost': 100.01100352112677, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -37.720070422533496, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 171381.13996478874, 'total_pnl': -37.720070422533496}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,-3.9106719312203135
all_market,all_market capacity control,47000,fixed_action_four,3.4336899697096284,3.4336899697096284,1.0,22.0,11,99.98666150931258,100.01100352112677,41.722208249500184,58.859922032196366,17.13771378269618,0.9997566066636956,2.433933363045933,3.4336899697096284,0.0,0.0,0.0,3.4336899697096284,0,0,0,VALID,[],"{'cash': 171360.00011317924, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -41.72220824949605, 'unrealized_pnl': 0.0, 'total_fees': 17.13771378269618, 'realized_pnl': -58.85992203219223, 'equity': 171360.00011317924, 'total_pnl': -58.85992203219223}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,1,-3.4336899697094414
twap,TWAP,47001,twap,1.7490582686024658,1.7490582686024658,1.0,60.0,20,99.98779322668803,99.9952842052314,12.839537223340567,29.97744498239488,17.13790775905431,0.999925086681807,0.7491331819206588,1.7490582686024658,0.0,0.0,0.0,1.7490582686024658,0,0,0,VALID,[],"{'cash': 171361.93968278426, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -12.83953722335005, 'unrealized_pnl': 0.0, 'total_fees': 17.13790775905431, 'realized_pnl': -29.97744498240436, 'equity': 171361.93968278426, 'total_pnl': -29.97744498240436}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,
random,Random,47001,random,1.2803514271064786,1.2803514271064786,1.0,40.0,15,99.98649459475641,99.9952842052314,15.0653923541164,21.94418856890513,6.878796214788731,0.40134892765455393,0.8790024994519247,1.2803514271064786,0.0,0.0,0.0,1.2803514271064786,0,0,0,VALID,[],"{'cash': 171369.9729391976, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -15.065392354131319, 'unrealized_pnl': 0.0, 'total_fees': 6.878796214788731, 'realized_pnl': -21.94418856892005, 'equity': 171369.9729391976, 'total_pnl': -21.94418856892005}",60.0,40.0,0.0,40.0,True,0,0.0,[],diagnostic,1,-1.280351427106966
all_wait,all_wait capacity control,47001,fixed_action_zero,0.0,1.2235803206240354,0.0,60.0,0,99.9952842052314,99.9952842052314,0.0,0.0,0.0,0.0,0.2236026808921246,1.2235803206240354,3.8323692153009463,17.138808475855132,0.0,1.2235803206240354,0,1714,0,VALID,[],"{'cash': 0.0, 'inventory': 1714, 'average_cost': 99.9952842052314, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 10.777162977849315, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 171402.69429074446, 'total_pnl': 10.777162977849315}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,-1.2235803206240354
all_market,all_market capacity control,47001,fixed_action_four,2.842382543611699,2.842382543611699,1.0,22.0,11,99.97685940614517,99.9952842052314,31.580105633797398,48.71613933601068,17.13603370221328,0.9998157433199707,1.8425668002917284,2.842382543611699,0.0,0.0,0.0,2.842382543611699,0,0,0,VALID,[],"{'cash': 171343.20098843065, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -31.58010563380823, 'unrealized_pnl': 0.0, 'total_fees': 17.13603370221328, 'realized_pnl': -48.71613933602151, 'equity': 171343.20098843065, 'total_pnl': -48.71613933602151}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,1,-2.842382543612015
twap,TWAP,47002,twap,-0.388085901254086,-0.388085901254086,1.0,60.0,20,99.96828990277723,99.95441398390342,-23.78332494970082,-6.648760060364793,17.134564889336026,1.0001388224723733,-1.388224723726459,-0.388085901254086,0.0,0.0,0.0,-0.388085901254086,0,0,0,VALID,[],"{'cash': 171328.51432847083, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 23.78332494970853, 'unrealized_pnl': 0.0, 'total_fees': 17.134564889336026, 'realized_pnl': 6.648760060372503, 'equity': 171328.51432847083, 'total_pnl': 6.648760060372503}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,
random,Random,47002,random,-1.0525185690419867,-1.0525185690419867,1.0,46.0,16,99.96767543710337,99.95441398390342,-22.73013078469869,-18.0319444793667,4.6981863053319906,0.2742315634810759,-1.3267501325230628,-1.0525185690419867,0.0,0.0,0.0,-1.0525185690419867,0,0,0,VALID,[],"{'cash': 171339.89751288982, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 22.730130784717588, 'unrealized_pnl': 0.0, 'total_fees': 4.6981863053319906, 'realized_pnl': 18.031944479385597, 'equity': 171339.89751288982, 'total_pnl': 18.031944479385597}",60.0,46.0,0.0,46.0,True,0,0.0,[],diagnostic,1,1.0525185690425447
all_wait,all_wait capacity control,47002,fixed_action_zero,0.0,-1.6392898352465552,0.0,60.0,0,99.95441398390342,99.95441398390342,0.0,0.0,0.0,0.0,-2.639553790625618,-1.6392898352465552,-45.221327967815036,17.13670868963783,0.0,-1.6392898352465552,0,1714,0,VALID,[],"{'cash': 0.0, 'inventory': 1714, 'average_cost': 99.95441398390342, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 86.21730382294066, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 171408.0828722334, 'total_pnl': 86.21730382294066}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,1.6392898352465548
all_market,all_market capacity control,47002,fixed_action_four,1.8482645236616324,1.8482645236616324,1.0,22.0,11,99.9459343576042,99.95441398390342,14.534079476868671,31.66481262576204,17.13073314889337,0.9999151650641409,0.8483493585974917,1.8482645236616324,0.0,0.0,0.0,1.8482645236616324,0,0,0,VALID,[],"{'cash': 171290.2007557848, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -14.534079476849513, 'unrealized_pnl': 0.0, 'total_fees': 17.13073314889337, 'realized_pnl': -31.664812625742883, 'equity': 171290.2007557848, 'total_pnl': -31.664812625742883}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,1,-1.8482645236611936
twap,TWAP,47003,twap,1.7751760147492466,1.7751760147492466,1.0,60.0,20,99.97810117707411,99.98585261569417,13.285965794775887,30.42221233652639,17.136246541750502,0.9999224746459896,0.7752535401032572,1.7751760147492466,0.0,0.0,0.0,1.7751760147492466,0,0,0,VALID,[],"{'cash': 171345.32917096332, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -13.285965794770405, 'unrealized_pnl': 0.0, 'total_fees': 17.136246541750502, 'realized_pnl': -30.422212336520907, 'equity': 171345.32917096332, 'total_pnl': -30.422212336520907}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,
random,Random,47003,random,0.8820146296907538,0.8820146296907538,1.0,44.0,16,99.98143763397186,99.98585261569417,7.567278672027161,15.11559198943159,7.5483133174044275,0.44045398817956655,0.44156064151118724,0.8820146296907538,0.0,0.0,0.0,0.8820146296907538,0,0,0,VALID,[],"{'cash': 171360.63579131043, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -7.5672786720327565, 'unrealized_pnl': 0.0, 'total_fees': 7.5483133174044275, 'realized_pnl': -15.115591989437185, 'equity': 171360.63579131043, 'total_pnl': -15.115591989437185}",60.0,44.0,0.0,44.0,True,0,0.0,[],diagnostic,1,-0.8820146296910475
all_wait,all_wait capacity control,47003,fixed_action_zero,0.0,3.556466662932945,0.0,60.0,0,99.98585261569417,99.98585261569417,0.0,0.0,0.0,0.0,2.556722335166462,3.556466662932945,43.81602112676173,17.133193536217306,0.0,3.556466662932945,0,1714,0,VALID,[],"{'cash': 0.0, 'inventory': 1714, 'average_cost': 99.98585261569417, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -10.777162977873672, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 171364.97422032192, 'total_pnl': -10.777162977873672}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,-3.5564666629329453
all_market,all_market capacity control,47003,fixed_action_four,1.7649039236867459,1.7649039236867459,1.0,22.0,11,99.97820389372409,99.98585261569417,13.1099094567307,30.246173604115015,17.136264147384313,0.9999235019578273,0.7649804217289186,1.7649039236867459,0.0,0.0,0.0,1.7649039236867459,0,0,0,VALID,[],"{'cash': 171345.50520969575, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -13.109909456738166, 'unrealized_pnl': 0.0, 'total_fees': 17.136264147384313, 'realized_pnl': -30.24617360412248, 'equity': 171345.50520969575, 'total_pnl': -30.24617360412248}",60.0,22.0,0.0,22.0,True,0,0.0,[],diagnostic,1,-1.7649039236873143
twap,TWAP,47004,twap,2.643407957190573,2.643407957190573,1.0,60.0,20,99.98827929654942,100.00471579476861,28.172157947695727,45.31014901912429,17.137991071428562,0.9998356427685572,1.6435723144220151,2.643407957190573,0.0,0.0,0.0,2.643407957190573,0,0,0,VALID,[],"{'cash': 171362.77272321435, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -28.17215794768029, 'unrealized_pnl': 0.0, 'total_fees': 17.137991071428562, 'realized_pnl': -45.31014901910885, 'equity': 171362.77272321435, 'total_pnl': -45.31014901910885}",60.0,60.0,0.0,60.0,True,0,0.0,[],diagnostic,1,
