agent,label,seed,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,scenario
vwap,VWAP,1008,3.481774088703597,3.481774088703597,1.0,57.5,20,99.960184,99.995,calm
ac,Almgren-Chriss,1009,3.34623268836594,3.34623268836594,1.0,57.5,20,99.971536,100.005,calm
heuristic,Heuristic,1009,3.95344907622761,4.346482675866262,0.9104,60.0,120,99.96546353251318,100.005,calm
pov,POV,1009,2.499375031248336,2.499375031248336,1.0,60.0,116,99.980005,100.005,calm
random,Random,1009,3.154842257887761,3.154842257887761,1.0,57.0,98,99.97345,100.005,calm
twap,TWAP,1009,3.2387380630971303,3.2387380630971303,1.0,57.5,20,99.972611,100.005,calm
vwap,VWAP,1009,5.904304784760608,5.904304784760608,1.0,57.5,20,99.945954,100.005,calm
ac,Almgren-Chriss,1010,5.822091104554939,5.822091104554939,1.0,57.5,20,99.936782,99.995,calm
heuristic,Heuristic,1010,3.7487309124165953,4.087504375217993,0.9097,60.0,120,99.9575145652413,99.995,calm
pov,POV,1010,3.867893394670429,3.867893394670429,1.0,60.0,115,99.956323,99.995,calm
random,Random,1010,4.224411220561593,4.224411220561593,1.0,57.0,95,99.952758,99.995,calm
twap,TWAP,1010,3.9566978348919775,3.9566978348919775,1.0,57.5,20,99.955435,99.995,calm
vwap,VWAP,1010,4.809540477024655,4.809540477024655,1.0,57.5,20,99.946907,99.995,calm
ac,Almgren-Chriss,1011,4.742911436716101,4.742911436716101,1.0,57.5,20,99.937578,99.985,calm
heuristic,Heuristic,1011,1.946114079756581,2.341851277692105,0.8952,60.0,120,99.96554177837356,99.985,calm
pov,POV,1011,3.3875081262195588,3.3875081262195588,1.0,52.5,101,99.95113,99.985,calm
random,Random,1011,5.456218432765652,5.456218432765652,1.0,53.5,88,99.930446,99.985,calm
twap,TWAP,1011,5.025253788067745,5.025253788067745,1.0,57.5,20,99.934755,99.985,calm
vwap,VWAP,1011,2.75251287693124,2.75251287693124,1.0,57.5,20,99.957479,99.985,calm
ac,Almgren-Chriss,1012,4.77226138692978,4.77226138692978,1.0,57.5,20,99.957275,100.005,calm
heuristic,Heuristic,1012,3.407083305437885,3.728913554322756,0.9154,60.0,120,99.97092746340395,100.005,calm
pov,POV,1012,4.128993550321884,4.128993550321884,1.0,56.5,111,99.963708,100.005,calm
random,Random,1012,3.0856457177148595,3.0856457177148595,1.0,53.0,84,99.974142,100.005,calm
twap,TWAP,1012,3.8758062096897192,3.8758062096897192,1.0,57.5,20,99.96624,100.005,calm
vwap,VWAP,1012,4.337883105845558,4.337883105845558,1.0,57.5,20,99.961619,100.005,calm
ac,Almgren-Chriss,1013,1.733086654332891,1.733086654332891,1.0,57.5,20,99.97767,99.995,calm
heuristic,Heuristic,1013,1.2720843296043272,1.4790739536970448,0.9071,60.0,120,99.98227979274613,99.995,calm
pov,POV,1013,2.451622581128271,2.451622581128271,1.0,60.0,118,99.970485,99.995,calm
random,Random,1013,3.726186309316033,3.726186309316033,1.0,49.0,88,99.95774,99.995,calm
twap,TWAP,1013,2.034201710086267,2.034201710086267,1.0,57.5,20,99.974659,99.995,calm
vwap,VWAP,1013,4.361918095904269,4.361918095904269,1.0,57.5,20,99.951383,99.995,calm
ac,Almgren-Chriss,1014,5.956997849893132,5.956997849893132,1.0,57.5,20,99.935433,99.995,calm
heuristic,Heuristic,1014,5.041969015455805,5.554677733887591,0.9121,60.0,120,99.94458283082996,99.995,calm
pov,POV,1014,4.54682734136674,4.54682734136674,1.0,60.0,115,99.949534,99.995,calm
random,Random,1014,5.6611406934543504,5.722186109305926,0.9841,60.0,93,99.9383914236358,99.995,calm
twap,TWAP,1014,4.450422521125369,4.450422521125369,1.0,57.5,20,99.950498,99.995,calm
vwap,VWAP,1014,1.4512725636276982,1.4512725636276982,1.0,57.5,20,99.980488,99.995,calm
ac,Almgren-Chriss,1015,2.236588170590944,2.236588170590944,1.0,57.5,20,99.982633,100.005,calm
heuristic,Heuristic,1015,3.238269113428756,3.5113244337788347,0.9076,60.0,120,99.97261568973116,100.005,calm
pov,POV,1015,4.555372231388116,4.555372231388116,1.0,58.0,112,99.959444,100.005,calm
random,Random,1015,3.5562221888900405,3.5562221888900405,1.0,50.5,84,99.969436,100.005,calm
twap,TWAP,1015,3.264936753162872,3.264936753162872,1.0,57.5,20,99.972349,100.005,calm
vwap,VWAP,1015,2.6283685815716344,2.6283685815716344,1.0,57.5,20,99.978715,100.005,calm
ac,Almgren-Chriss,1016,6.487875606219468,6.487875606219468,1.0,57.5,20,99.940118,100.005,calm
heuristic,Heuristic,1016,3.889507479544587,4.120193990300276,0.9361,60.0,120,99.9661029804508,100.005,calm
pov,POV,1016,4.356382180890117,4.356382180890117,1.0,57.5,113,99.961434,100.005,calm
